id,season,totalcast,minority,white,year
1,13,25,1,24,2009
2,14,25,1,24,2010
3,15,30,0,30,2011
4,16,25,1,24,2012
5,17,26,6,20,2013
6,18,27,3,24,2014
7,19,30,1,29,2015
8,20,28,5,23,2016
9,21,30,8,22,2017
