Name,Age,Occupation,Hometown,Height,ElimWeek,Season,Year,Minority,hi
Amy Long,27,Local News Reporter,"Clermont, Florida",,2,18,2014,N,
Chantel Forrest,27,Account Manager,"Miami, Florida",,2,18,2014,M,
Victoria Lima,24,Legal Assistant,"Porto Alegre, Brazil",,2,18,2014,N,
Alexis Morgado,24,Communications Director/NHL Ice Girl,"Tampa, Florida",,1,18,2014,N,
Amy Jokinen,31,Massage Therapist,"Apopka, Florida",,1,18,2014,N,
Ashley Poe,25,Grade School Teacher,"Roanoke, Texas",,1,18,2014,N,
Christine Llano,23,Police Support Specialist,"Miami, Florida",,1,18,2014,N,
Kylie Lewis,23,Interior Designer,"Rockford, Illinois",,1,18,2014,N,
Lacy Faddoul,25,Nursing Home Owner,"Antelope Acres, California",,1,18,2014,N,
Lauren Higginson,25,Mineral Coordinator,"Edmond, Oklahoma",,1,18,2014,N,
Maggie Gantt,25,Personal Banker,"Wagener, South Carolina",,1,18,2014,N,
Valerie Eredia,26,Personal Trainer,"Sutter, California",,1,18,2014,N,
Catherine Giudici,26,Graphic Designer,"Seattle, Washington",,11,17,2013,M,26
Lindsay Yenter,24,Substitute Teacher,"Fort Bragg, North Carolina",,10,17,2013,N,
AshLee Frazier,32,Personal Organizer,"Houston, Texas",,9,17,2013,N,
Desiree Hartsock,26,Bridal Stylist,"Northglenn, Colorado",,8,17,2013,N,
Lesley Murphy,24,Political Consultant,"Fort Smith, Arkansas",,7,17,2013,N,
Tierra LiCausi,24,Leasing Consultant,"Las Vegas, Nevada",,7,17,2013,N,
Daniella McBride,24,Commercial Casting Associate,"Belmont, California",,6,17,2013,N,
Selma Alameri,29,Real Estate Dealer,"Borrego Springs, California",,6,17,2013,M,
Sarah Herron,26,Advertising Executive,"Evergreen, Colorado",,6,17,2013,N,
Robyn Howard,24,Oil Field Account Manager,"Topeka, Kansas",,5,17,2013,M,
Jackie Parr,25,Cosmetics Consultant,"Ormond Beach, Florida",,5,17,2013,N,
Amanda Meyer,26,Fit Model,"Bakersfield, California",,4,17,2013,N,
Leslie Hughes,28,Poker Dealer,"Ruskin, Florida",,4,17,2013,M,
Kristy Kaminski,25,Model,"Darien, Wisconsin",,3,17,2013,N,
Taryn Renee Daniels,30,Health Club Manager,"Troutdale, Oregon",,3,17,2013,N,
Kacie Boguskie,25,Administrative Assistant,"Clarksville, Tennessee",,3,17,2013,N,
Brooke Burchette,25,Community Organizer,"Pittsburgh, Pennsylvania",,2,17,2013,M,
Diana Weeks Willardson,31,Salon Owner,"Sandy, Utah",,2,17,2013,N,
Katie Levans,27,Yoga Instructor,"Woodstock, Illinois",,2,17,2013,N,
Ashley Harper,25,Fashion Model,"Garner, North Carolina",,1,17,2013,M,
Ashley Palenkas,28,Hair Stylist,"Macomb, Michigan",,1,17,2013,N,
Kelly Dutton,28,Cruise Ship Entertainer,"Chattanooga, Tennessee",,1,17,2013,N,
Keriann Miranda,29,Entrepreneur,"Agoura Hills, California",,1,17,2013,N,
Lacey Latka,24,Graduate Student,"Stevenson Ranch, California",,1,17,2013,N,
Lauren Marchetti,27,Journalist,"Cranston, Rhode Island",,1,17,2013,N,
Paige Vigil,25,Jumbotron Operator,"Minnetonka, Minnesota",,1,17,2013,N,
Courtney Robertson,28,Model,"Scottsdale, Arizona",,,16,2012,N,25
Lindzi Cox,27,Business development manager,"Newcastle, Washington",,10,16,2012,N,
Nicki Sterling,26,Dental hygienist,"Hurst, Texas",,9,16,2012,N,
Kacie Boguskie,24,Administrative assistant,"Clarksville, Tennessee",,8,16,2012,N,
Emily O'Brien,27,PhD Student,"Chapel Hill, North Carolina",,7,16,2012,N,
Rachel Truehart,27,Fashion sales representative,"Southampton, Massachusetts",,7,16,2012,N,
Jamie Otis,25,Registered nurse,"Dryden, New York",,6,16,2012,N,
Casey Shteamer,26,Trading clerk,"Leawood, Kansas",,6,16,2012,N,
Blakeley Jones,33,VIP cocktail waitress,"Rutherfordton, North Carolina",,6,16,2012,N,
Jennifer Fritsch,28,Accountant,"Cache, Oklahoma",,5,16,2012,N,
Elyse Myers,24,Personal trainer,"Chicago, Illinois",,5,16,2012,N,
Monica Spannbauer,33,Dental consultant,"Yuba, California",,4,16,2012,N,
Samantha Levey,26,Advertising account manager,"Pittsburgh, Pennsylvania",,4,16,2012,N,
Erika Uhlig,23,Law student,"Charlottesville, Virginia",,3,16,2012,N,
Jaclyn Swartz,27,Advertising account manager,"Newton, Massachusetts",,3,16,2012,N,
Brittney Schreiner,26,Medical sales representative,"Colorado Springs, Colorado",,3,16,2012,N,
Jenna Burke,27,Blogger,"Loveland, Ohio",,2,16,2012,N,
Shawn Reynolds,28,Financial advisor,"Cincinnati, Ohio",,2,16,2012,N,
Amber Bacon,23,Labor and delivery nurse,"Port Coquitlam, British Columbia",,1,16,2012,N,
Amber Tierney,28,Critical care nurse,"Waverly, Nebraska",,1,16,2012,N,
Anna Snowball,25,Student,"Detroit, Michigan",,1,16,2012,N,
Dianna Martinez,30,Nonprofit director,"San Gabriel, California",,1,16,2012,M,
Holly Johnson,34,Pharmaceutical sales representative,"Salyersville, Kentucky",,1,16,2012,N,
Lyndsie James,29,Internet entrepreneur,"London, England",,1,16,2012,N,
Shira Astrof,35,Actress,"Massapequa Park, New York",,1,16,2012,N,
Emily Maynard,25,Children's Hospital Event Planner,"Morgantown, West Virginia",,,15,2011,N,
Chantal O'Brien,28,Executive Assistant,"Mercer Island, Washington",,10,15,2011,N,
Ashley Hebert,26,Dental Student,"Madawaska, Maine",,9,15,2011,N,
Shawntel Newton,25,Funeral Director,"Chico, California",,8,15,2011,N,
Michelle Money,30,Hair stylist,"Salt Lake City, Utah",,7,15,2011,N,30
Britt Billmaier,25,Food writer,"Woodinville, Washington",,7,15,2011,N,
Jackie Gordon,26,Artist,"Newport, Rhode Island",,6,15,2011,N,
Alli Travis,24,Apparel merchant,"Columbus, Ohio",,6,15,2011,N,
Lisa Morrisey,24,Marketing Coordinator,"Ottawa, Kansas",,5,15,2011,N,
Marissa May,26,Sports Publicist,"Mesa, Arizona",,5,15,2011,N,
Ashley Spivey,26,Nanny,"Ellerbe, North Carolina",,5,15,2011,N,
Lindsay Hill,25,First grade teacher,"Plano, Texas",,4,15,2011,N,
Meghan Merritt,30,Fashion Marketer,"Princeton, New Jersey",,4,15,2011,N,
Stacey Quirpel,26,Bartender,"Quincy, Massachusetts",,4,15,2011,N,
Kimberly Coon,27,Marketing Coordinator,"Orlando, Florida",,3,15,2011,N,
Sarah Powell,27,Real Estate Broker,"Denver, Colorado",,3,15,2011,N,
Madison Garton,25,Model,"Vail, Colorado",,3,15,2011,N,
Keltie Colleen,28,Radio City Rockette,"Sherwood Park, Alberta",,2,15,2011,N,
Melissa Schreiber,32,Waitress,"Westport, Connecticut",,2,15,2011,N,
Raichel Goodyear,29,Manscaper,"Fullerton, California",,2,15,2011,N,
Britnee,25,Paralegal,"Holland, Pennsylvania",,1,15,2011,N,
Cristy Caserta,30,Attorney,"Davie, Florida",,1,15,2011,N,
"Jessica ""J"" Adams",26,Operations Manager,"Seattle, Washington",,1,15,2011,N,
Jill Ruskowski,28,Sales director,"Frisco, Texas",,1,15,2011,N,
Lacey Garbelman,27,Insurance agent,"Tampa, Florida",,1,15,2011,N,
Lauren Moore,26,High School Teacher,"Culpeper, Virginia",,1,15,2011,N,
Lisa P.,27,Sales Consultant,"Dix Hills, New York",,1,15,2011,N,
Rebecca,30,Esthetician,"Mission Viejo, California",,1,15,2011,N,
Renee Halpin,28,Nanny,"Palos Hills, Illinois",,1,15,2011,N,
Sarah Ledtke,25,Musical Theatre Performer,"Saginaw, Michigan",,1,15,2011,N,
Vienna Girardi,23,Marketing Representative,"Geneva, Florida",,,14,2010,N,
Tenley Molzahn,25,College Admissions,"Newberg, Oregon",,8,14,2010,N,25
Gia Allemand,26,Swimsuit Model,"New York, New York",,7,14,2010,N,
Ali Fedotowsky,25,Advertising Account Manager,"Williamstown, Massachusetts",,6,14,2010,N,
Corrie Adamson,23,Wardrobe Consultant,"Kissimmee, Florida",,5,14,2010,N,
Ashleigh Hunt,25,Account Manager,"North Potomac, Maryland",,4,14,2010,N,
Jessie Sulidis,25,Cosmetic Sales Manager,"Oakville, Ontario",,4,14,2010,N,
Kathryn Sherlock,25,Corporate Flight Attendant,"Lexington, Kentucky",,4,14,2010,N,
Ella Nolan,30,Hair Stylist,"La Follette, Tennessee",,4,14,2010,N,
Elizabeth Kitt (NE),29,Nanny,"Imperial, Nebraska",,3,14,2010,N,
Valishia Savage,32,Homemaker,"San Bernardino, California",,3,14,2010,N,
Michelle Kujawa,26,Office Manager,"Anaheim, California",,3,14,2010,N,
Ashley Elmore,29,Teacher,"Pittsburgh, Pennsylvania",,2,14,2010,N,
Christina McCasland,25,Restaurant Manager,"San Diego, California",,2,14,2010,N,
Rozlyn Papa,28,Model/Make-Up Artist,"Richmond, Virginia",,2,14,2010,N,
Alexa (Lex) McAllister,25,Entrepreneur,"Galloway, Ohio",,1,14,2010,N,
Caitlyn McCabe,24,Spokesmodel,"Winfield, Illinois",,1,14,2010,N,
